team,rating,matches_played,last_match_date
Argentina,1984.924443940255,1070,2026-06-16
Spain,1978.9208489923412,784,2026-06-15
France,1954.3522272961436,936,2026-06-16
England,1909.5722976827421,1090,2026-06-10
Brazil,1902.531609709106,1060,2026-06-13
Portugal,1891.3489618377293,695,2026-06-10
Germany,1888.6473249523874,1032,2026-06-14
Netherlands,1872.5109687135252,880,2026-06-14
Colombia,1868.1422583535248,638,2026-06-07
Japan,1866.464351993162,791,2026-06-14
Morocco,1859.7327350727069,618,2026-06-13
Italy,1838.9231201857529,893,2026-06-07
Belgium,1835.210585689629,854,2026-06-15
Croatia,1834.0698004664375,396,2026-06-07
Mexico,1832.099247282359,1004,2026-06-11
Ecuador,1811.8640384979053,592,2026-06-14
South Korea,1811.1521844192982,1008,2026-06-11
Uruguay,1810.3794435634377,971,2026-06-15
Iran,1802.2771418060472,613,2026-06-15
Australia,1800.413202131351,582,2026-06-13
United States,1793.0673596848885,791,2026-06-12
Switzerland,1792.9663775700913,885,2026-06-13
Denmark,1789.7484802666327,874,2026-06-07
Senegal,1781.9077242164922,639,2026-06-16
Turkey,1780.6009978798493,643,2026-06-13
Norway,1777.0854948193305,873,2026-06-16
Austria,1772.1740314378424,861,2026-06-16
Algeria,1770.1851079884943,618,2026-06-16
Russia,1752.2962957723864,749,2026-06-09
Canada,1751.2970534651745,470,2026-06-12
Ivory Coast,1749.7737683640346,637,2026-06-14
Uzbekistan,1734.1076821941504,354,2026-06-08
Egypt,1732.5936258030242,757,2026-06-15
Nigeria,1731.3270316472106,661,2026-06-10
Paraguay,1729.3335388026856,784,2026-06-12
Ukraine,1727.7715115809249,338,2026-06-07
Jersey,1725.645870977224,235,2025-07-18
Scotland,1717.9536441204095,852,2026-06-13
Panama,1712.2051501745195,539,2026-06-06
Yugoslavia,1711.2124046292254,483,1992-03-25
Sweden,1711.0343237633824,1102,2026-06-14
Poland,1708.528589377768,892,2026-06-03
Hungary,1704.1038953188333,1006,2026-06-09
Serbia,1702.7832986721523,348,2026-06-04
Czech Republic,1692.0740064112877,361,2026-06-11
Venezuela,1688.1709005674115,460,2026-06-09
Greece,1685.3981161961665,633,2026-06-07
Chile,1684.0453611715398,835,2026-06-09
Iraq,1680.3783363614507,656,2026-06-16
Basque Country,1680.2225278074873,64,2025-11-15
Wales,1678.2619373047362,726,2026-06-06
Guernsey,1675.4992776250317,240,2023-07-13
Peru,1671.2606196134234,714,2026-06-08
Czechoslovakia,1669.584498947193,520,1993-11-17
Costa Rica,1665.182713306619,724,2026-06-10
Tunisia,1661.624473879782,679,2026-06-14
Saudi Arabia,1660.95812949183,742,2026-06-15
Republic of Ireland,1660.0095561289618,633,2026-06-05
Cameroon,1659.7526679705495,616,2026-03-31
Jordan,1658.0813119045176,486,2026-06-16
Slovenia,1655.4121938048247,317,2026-06-07
DR Congo,1648.1709379383333,524,2026-06-09
New Zealand,1645.6581885474584,417,2026-06-15
Slovakia,1642.350321457216,367,2026-06-05
German DR,1638.944890435617,298,1990-09-12
Mali,1633.4339213592289,569,2026-06-04
United Arab Emirates,1627.0370874585808,612,2025-12-15
South Africa,1626.7492693944034,481,2026-06-11
Romania,1624.940862563339,766,2026-06-06
Qatar,1620.2752372531752,636,2026-06-13
Kosovo,1619.841361232579,104,2026-06-07
Ynys Môn,1617.5330413820689,67,2025-07-17
Isle of Man,1616.968536441982,58,2025-07-18
Padania,1613.8189518321376,45,2019-06-08
Cape Verde,1612.7482248412814,236,2026-06-15
Jamaica,1611.781446298525,663,2026-06-06
Honduras,1606.3641815882556,620,2026-06-06
Burkina Faso,1606.2915237695115,464,2026-06-09
Georgia,1603.1723106728937,307,2026-06-05
Bosnia and Herzegovina,1601.3155386008134,284,2026-06-12
Catalonia,1599.333983352453,48,2019-03-25
Northern Cyprus,1596.2949104575239,34,2018-06-09
Isle of Wight,1595.959300186466,48,2023-07-13
Bolivia,1595.0478879847465,534,2026-06-10
Haiti,1588.4262628795022,511,2026-06-13
Oman,1588.2574117469171,543,2026-06-05
Ghana,1586.0114120112419,671,2026-06-02
Israel,1583.024401997382,498,2026-06-03
Occitania,1582.930485303291,33,2014-12-30
Albania,1576.5226269881814,398,2026-06-06
Guatemala,1574.1437343861296,554,2026-06-07
Abkhazia,1573.9313029462137,33,2019-06-08
North Macedonia,1572.9080652993675,306,2026-06-01
Iraqi Kurdistan,1565.2763773874615,27,2016-06-04
Andalusia,1562.9690502096626,13,2013-06-07
Northern Ireland,1559.9093790782806,707,2026-06-08
Thailand,1555.6108708004153,865,2026-06-09
Réunion,1555.0053296127844,124,2023-09-02
China,1554.7708247646622,702,2026-06-09
Rhodes,1554.4825578608018,18,2011-06-27
Kernow,1553.7461985101884,12,2023-07-16
Iceland,1553.4218048040016,522,2026-06-09
Finland,1551.3309202323214,818,2026-06-05
New Caledonia,1548.743071407541,265,2026-03-26
Bahrain,1546.0559651127833,584,2026-06-05
County of Nice,1544.5465395382596,9,2015-06-21
Kárpátalja,1543.393431967884,11,2018-06-09
Angola,1539.6374070463953,415,2026-06-09
Corsica,1538.885929843306,9,2017-05-26
Ellan Vannin,1537.8102170403067,22,2018-06-03
Syria,1536.6548890118715,484,2026-06-05
Tamil Eelam,1533.8666953019206,28,2025-07-04
Kurdistan,1531.8372394904702,5,2013-06-28
Yorkshire,1531.2113770618598,7,2019-06-01
Artsakh,1529.8927741066168,11,2019-06-08
